|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|image_file|Medium|low_est|high_est|Sold|Artist|Movement
3558|2D|1922.0|Oil|Canvas|Yes|8.75 x 10.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e16af42bf0374461f4856bd37904d980.jpg|NU ACCROUPI DEVANT UN AQUARIUM (NU AUX POISSONS ROUGES)|HENRI MATISSE|Nov 14, 2016|images/henri_matisse/e16af42bf0374461f4856bd37904d980.jpg||1500000|2000000|1932500.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3559|2D|1951.0|Black Chalk|Paper|Yes|10.75 x 8.12 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/cb09ddf6009e39952e832310b611b4da.jpg|Head of a Woman|HENRI MATISSE|Nov 1, 2016|images/henri_matisse/cb09ddf6009e39952e832310b611b4da.jpg||40000|60000|40625.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3560|2D|1951.0|Black Chalk|Paper|Yes|10.75 x 8.12 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/be42590d88f38941e1fe7fdc8e254275.jpg|Head of a Woman|HENRI MATISSE|Nov 1, 2016|images/henri_matisse/be42590d88f38941e1fe7fdc8e254275.jpg||40000|60000|36250.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3561|2D|1942.0|Pen, India Ink|Paper|Yes|21 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/edc3278eeacbdd03e4e0e6ff3243eab0.jpg|Portrait de Louis Aragon|HENRI MATISSE|Oct 4, 2016|images/henri_matisse/edc3278eeacbdd03e4e0e6ff3243eab0.jpg||127500|255000|135468.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3562|2D|1929.0|Pen, Ink|Paper|Yes|10.88 x 8.63 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/43e1ba2e6e1512bafa2f8268981690a3.jpg|Profil de femme|HENRI MATISSE|Jun 24, 2016|images/henri_matisse/43e1ba2e6e1512bafa2f8268981690a3.jpg||10963|16444|44538.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3563|2D|1952.0|Conte crayon|Paper|Yes|22.38 x 17.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/860c5e6e993ad43255170598e19d98a6.jpg|Jeune Anglaise|HENRI MATISSE|Jun 23, 2016|images/henri_matisse/860c5e6e993ad43255170598e19d98a6.jpg||148690|223035|164302.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3564|2D|1908.0|Pencil|Paper|Yes|12.5 x 9.63 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4401f94f0a4469073c651f0b1e31b294.jpg|Nu debout|HENRI MATISSE|Jun 23, 2016|images/henri_matisse/4401f94f0a4469073c651f0b1e31b294.jpg||14869|22303|37172.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3565|2D|1918.0|Pencil|Paper|Unknown|12.5 x 9.38 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/bff9af21c4dc30c5d58711726b8ef3fa.jpg|Portrait de Gilberte Lallée|HENRI MATISSE|Jun 23, 2016|images/henri_matisse/bff9af21c4dc30c5d58711726b8ef3fa.jpg||22303|37172|52041.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3566|2D|1915.0|Pencil, Estompe|Paper|Yes|32.5 x 25.2 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2be77fbf63c8bc4c3d2eb5d8d63c68d9.jpg|Tête cubiste|HENRI MATISSE|Jun 23, 2016|images/henri_matisse/2be77fbf63c8bc4c3d2eb5d8d63c68d9.jpg||0|0|57023.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3567|2D|1919.0|Oil|Canvasboard|Yes|40.7 x 32.7 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/97c3851c7528d14b2f122925df993950.jpg|JEUNE FILLE EN NOIR|HENRI MATISSE|Jun 22, 2016|images/henri_matisse/97c3851c7528d14b2f122925df993950.jpg||734650|1028510|800768.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
3568|2D|1935.0|Charcoal, Pastel|Paper|Yes|48 x 33.8 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e1ab6db1554a5b4698a4555df899e177.jpg|NU ASSIS|HENRI MATISSE|Jun 22, 2016|images/henri_matisse/e1ab6db1554a5b4698a4555df899e177.jpg||117544|176316|146930.0|HENRI MATISSE|Modernism/Fauvism/Post-Impressionism
