|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|image_file
15|2D|1885|Oil|Canvas|Unknown|24 x 20 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b659103f1e24098e42a043b066398f2c.jpg|Portrait de femme: buste, profil gauche|VINCENT VAN GOGH|images/vincent_van_gogh/b659103f1e24098e42a043b066398f2c.jpg
16|2D|1887|Oil|Canvas|Unknown|19.75 x 24.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b14c482b0adb470fe5d97210c9029071.jpg|Coin de jardin avec papillons|VINCENT VAN GOGH|images/vincent_van_gogh/b14c482b0adb470fe5d97210c9029071.jpg
17|2D|1889|Oil|Canvas|Unknown|17.75 x 23.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/da794d1247e6499dd4e0916c272258e8.jpg|Vue de l’asile et de la Chapelle Saint-Paul de Mausole (Saint-Rémy)|VINCENT VAN GOGH|images/vincent_van_gogh/da794d1247e6499dd4e0916c272258e8.jpg
18|2D||Black Chalk|Paper|Yes|18.13 x 20.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8776d4b15b6c51b2b87adc35900a6bf2.jpg|Planteuse de betteraves|VINCENT VAN GOGH|images/vincent_van_gogh/8776d4b15b6c51b2b87adc35900a6bf2.jpg
19|2D|1882|Gouache, Pencil, Watercolor|Paper|No|40 x 59.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/895653ec8ae00a446f2cd6406eb5cf07.jpg|VIEW FROM THE WINDOW OF VINCENT'S STUDIO IN WINTER|VINCENT VAN GOGH|images/vincent_van_gogh/895653ec8ae00a446f2cd6406eb5cf07.jpg
20|2D|1884|Oil|Canvas|No|60.5 x 80 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5dade8b0277582a4eaf9d42570730c7e.jpg|LE MOULIN À L'EAU|VINCENT VAN GOGH|images/vincent_van_gogh/5dade8b0277582a4eaf9d42570730c7e.jpg
21|2D|1888|Reed Pen, Brown ink, Pencil|Paper|Yes|24.2 x 31.6 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c9c7826ad0008b6c9916cd67adb29e19.jpg|UN COIN DE JARDIN À ARLES|VINCENT VAN GOGH|images/vincent_van_gogh/c9c7826ad0008b6c9916cd67adb29e19.jpg
22|2D|1882|Watercolor, Gouache|Paper|Yes|10.75 x 15 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/aec81034788e621d8ba6360c7ee64162.jpg|PEOPLE SITTING ON A BENCH IN BEZUIDENHOUT, THE HAGUE|VINCENT VAN GOGH|images/vincent_van_gogh/aec81034788e621d8ba6360c7ee64162.jpg
23|2D|1883|Watercolor|Paper|Unknown|10.5 x 16.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a0e7e1bfa206f2631a46c8f85b8fa1f4.jpg|THE LAUNDRESS|VINCENT VAN GOGH|images/vincent_van_gogh/a0e7e1bfa206f2631a46c8f85b8fa1f4.jpg
24|2D|1886|Oil|Canvas|Yes||https://artbnk-art-resized-images.s3.amazonaws.com/w526/d79288ab798216dccca6104271e50835.jpg|NATURE MORTE: VASE AUX GLAÏEULS|VINCENT VAN GOGH|images/vincent_van_gogh/d79288ab798216dccca6104271e50835.jpg
