|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|image_file
352|2D|1885|Oil|Canvas|Yes|23.625 x 31.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/07b28ef57bca042d2897a99a2f00b0fb.jpg|Chemin creux à Giverny|CLAUDE MONET|images/claude_monet/07b28ef57bca042d2897a99a2f00b0fb.jpg
353|2D|1879|Oil|Canvas|Yes|19.75 x 31.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1a8efdb84cf823f1d38dc134ea80db98.jpg|Les glaçons à Lavacourt|CLAUDE MONET|images/claude_monet/1a8efdb84cf823f1d38dc134ea80db98.jpg
354|2D|1918|Oil|Canvas|Yes|28.875 x 41.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/19ea49fdd6a6e6c165b242024a0116e6.jpg|Le pont japonais|CLAUDE MONET|images/claude_monet/19ea49fdd6a6e6c165b242024a0116e6.jpg
355|2D|1880|Oil|Canvas|Yes|23.625 x 39.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5038cbc0e322e79a922fe9f40efa6dc0.jpg|Vétheuil|CLAUDE MONET|images/claude_monet/5038cbc0e322e79a922fe9f40efa6dc0.jpg
356|2D|1882|Oil|Canvas|Yes|23.625 x 27.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f5e2468f6d0449087e3048762984fbb9.jpg|Cabane des douaniers|CLAUDE MONET|images/claude_monet/f5e2468f6d0449087e3048762984fbb9.jpg
357|2D|1899|Pastel|Paper|Yes|12.25 x 19 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6c6e9b89b44d620ef8bba646d2d28a9e.jpg|Le Pont de Waterloo, Londres|CLAUDE MONET|images/claude_monet/6c6e9b89b44d620ef8bba646d2d28a9e.jpg
358|2D|1888|Oil|Canvas|Yes|25.5 x 36.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/56d1329e0595bcf4c40ecae2a3974dff.jpg|Golfe d'Antibes|CLAUDE MONET|images/claude_monet/56d1329e0595bcf4c40ecae2a3974dff.jpg
359|2D|1888|Oil|Canvas|Yes|28.75 x 36.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1a3e03776142aa1f88b5e12bb0c4fb8e.jpg|Prairie de Limetz|CLAUDE MONET|images/claude_monet/1a3e03776142aa1f88b5e12bb0c4fb8e.jpg
360|2D||Pastel|Paper|Yes|7.5 x 12 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/290064b5d28aae62ec7a6f248a565669.jpg|Chemin creux, Pourville|CLAUDE MONET|images/claude_monet/290064b5d28aae62ec7a6f248a565669.jpg
361|2D||Pastel|Paper, Board|Yes|10.625 x 13.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b14ba93b3c6594564158e5d3960ddc73.jpg|Etretat, le cap d'Antifer|CLAUDE MONET|images/claude_monet/b14ba93b3c6594564158e5d3960ddc73.jpg
362|2D|1886|Oil|Canvas|Yes|23.75 x 29 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1f524d77804d641be00292f503dacfb8.jpg|Tempête à Belle-Ile|CLAUDE MONET|images/claude_monet/1f524d77804d641be00292f503dacfb8.jpg
