|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|Est|Sold|image_file
836|2D|1945|Charcoal|Paper|Yes|20.75 x 15.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/df2c8094d03112d7c1f6d71744204467.jpg|Theanor|HENRI MATISSE|May 3, 2006|300,000 - 400,000 USD|340,800 USD|images/henri_matisse/df2c8094d03112d7c1f6d71744204467.jpg
837|2D|1941|Pen, India Ink|Paper|Yes|8 x 10.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/871b30c2d7df0c9af25838e05b81956b.jpg|Femme couchée|HENRI MATISSE|Feb 9, 2006|34,797 - 52,195 USD|87,689 USD|images/henri_matisse/871b30c2d7df0c9af25838e05b81956b.jpg
838|2D|1905|Pastel, Charcoal|Paper|Yes|9.75 x 11.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e5b35d39b2c92b286a44f1bc98ffd091.jpg|Le Pont Saint-Michel, Paris|HENRI MATISSE|Feb 9, 2006|139,189 - 208,783 USD|393,905 USD|images/henri_matisse/e5b35d39b2c92b286a44f1bc98ffd091.jpg
839|2D||Pencil|Paper|Yes|12.25 x 9.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/41982006f7f65b63b4d8d4395352ed67.jpg|Femme assise|HENRI MATISSE|Nov 2, 2005|25,000 - 35,000 USD|24,000 USD|images/henri_matisse/41982006f7f65b63b4d8d4395352ed67.jpg
840|2D|1907|Pencil|Paper|Yes|12.5 x 9.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0178a184bccc524b3630ad67cbd27e78.jpg|Femme debout|HENRI MATISSE|Nov 2, 2005|20,000 - 30,000 USD|21,600 USD|images/henri_matisse/0178a184bccc524b3630ad67cbd27e78.jpg
841|2D|1902|Oil|Panel|Yes|9.75 x 13 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7b9e5d6a43d4beac9e9f3c1f67daa3fd.jpg|Femme lisant dans un jardin|HENRI MATISSE|Nov 2, 2005|150,000 - 200,000 USD|228,000 USD|images/henri_matisse/7b9e5d6a43d4beac9e9f3c1f67daa3fd.jpg
842|2D|1937|Pen, India Ink|Paper|Yes|11.25 x 15 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/797f22a64b7710251fbe5a0b6103ad56.jpg|Nu devant le miroir|HENRI MATISSE|Nov 2, 2005|150,000 - 200,000 USD|296,000 USD|images/henri_matisse/797f22a64b7710251fbe5a0b6103ad56.jpg
843|2D|1928|Pen, India Ink|Paper|Yes|13 x 20 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/43245f6edbfe81a2995c17cd6d76549b.jpg|Odalisque étendue, au fauteuil turc|HENRI MATISSE|Nov 2, 2005|300,000 - 400,000 USD|352,000 USD|images/henri_matisse/43245f6edbfe81a2995c17cd6d76549b.jpg
844|2D|1944|Pen, Ink|Paper|Yes|20.5 x 15.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a230c2260950bf181551abf930700060.jpg|Portrait d'une jeune femme|HENRI MATISSE|Nov 2, 2005|120,000 - 160,000 USD|120,000 USD|images/henri_matisse/a230c2260950bf181551abf930700060.jpg
845|2D|1951|Charcoal|Paper|Yes|20.75 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/eee2da8d0c281af408d7dd4edea1a5f5.jpg|Portrait de femme|HENRI MATISSE|Nov 2, 2005|90,000 - 120,000 USD|90,000 USD|images/henri_matisse/eee2da8d0c281af408d7dd4edea1a5f5.jpg
846|2D|1951|Charcoal|Paper|Yes|16 x 12 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a75822b7b6ec7c4da15b62d3e19e3753.jpg|Doucia|HENRI MATISSE|Jun 23, 2005|54,646 - 72,862 USD|69,947 USD|images/henri_matisse/a75822b7b6ec7c4da15b62d3e19e3753.jpg
847|2D|1948|Charcoal|Paper|Yes||https://artbnk-art-resized-images.s3.amazonaws.com/w526/af2b6dcba9e303a4bb379c01aec759f9.jpg|Tête dans les mains croisées|HENRI MATISSE|Jun 23, 2005|63,754 - 81,970 USD|185,798 USD|images/henri_matisse/af2b6dcba9e303a4bb379c01aec759f9.jpg
848|2D|1924|Oil|Canvas|Yes|24.25 x 20 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/457141fae4f46c7215f7906a43376df5.jpg|Nature morte, fleurs et tasse|HENRI MATISSE|Jun 21, 2005|3,639,428 - 5,459,142 USD|4,498,333 USD|images/henri_matisse/457141fae4f46c7215f7906a43376df5.jpg
849|2D||Pen, India Ink|Paper|Yes|13.25 x 9.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/196bf2790d9a024a64115f1fdbb010fa.jpg|Buste de femme, cheveux boucles|HENRI MATISSE|May 5, 2005|60,000 - 80,000 USD|84,000 USD|images/henri_matisse/196bf2790d9a024a64115f1fdbb010fa.jpg
