|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|Est|Sold|image_file|Medium
11|2D||Oil|Canvas|Yes|81 x 105 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/967a54aa249115eeecddf61ad6b46f5a.jpg|A moored steamer at a busy quay|ANDREAS ACHENBACH|Apr 13, 2010|20,374 - 27,166 USD|25,468 USD|images/andreas_achenbach/967a54aa249115eeecddf61ad6b46f5a.jpg|
12|2D||Oil|Canvas|Yes|33 x 51 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ee4cdd9eb11306e14f25e264092be969.jpg|SHIPPING IN CHOPPY WATERS|ANDREAS ACHENBACH|Apr 14, 2008|12,695 - 19,042 USD|Unsold|images/andreas_achenbach/ee4cdd9eb11306e14f25e264092be969.jpg|
13|2D|1867|Oil|Canvas|Yes|35.5 x 52 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7fd9b8fcda2c6a918c88b5f9365d4944.jpg|The Watermill in the Village|ANDREAS ACHENBACH|Oct 24, 2007|30,000 - 40,000 USD|73,000 USD|images/andreas_achenbach/7fd9b8fcda2c6a918c88b5f9365d4944.jpg|
14|2D||Oil|Panel|Yes|50 x 61.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/85592807c4662dadee88e5f2431252ae.jpg|Rowing on rough seas|ANDREAS ACHENBACH|Oct 17, 2007|7,100 - 9,940 USD|7,987 USD|images/andreas_achenbach/85592807c4662dadee88e5f2431252ae.jpg|
15|2D||Oil|Canvas|Yes|127 x 173 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/828db8e2a839d2779f67082a00f7ba7b.jpg|The departure of the steamship|ANDREAS ACHENBACH|Oct 24, 2006|50,164 - 75,246 USD|60,196 USD|images/andreas_achenbach/828db8e2a839d2779f67082a00f7ba7b.jpg|
16|2D||Oil|Canvas, Panel|Yes|23.5 x 50.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6221c9b8317bef41fafce1c79a67d02b.jpg|The rescue|ANDREAS ACHENBACH|Oct 24, 2006|2,508 - 3,762 USD|3,009 USD|images/andreas_achenbach/6221c9b8317bef41fafce1c79a67d02b.jpg|
17|2D||Oil|Panel|Yes|35 x 46 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1d0750c847d693a3c0c2d2bfb0816c47.jpg|The boat wharf|ANDREAS ACHENBACH|Apr 26, 2006|18,637 - 24,850 USD|20,874 USD|images/andreas_achenbach/1d0750c847d693a3c0c2d2bfb0816c47.jpg|
18|2D||Oil|Canvas|Yes||https://artbnk-art-resized-images.s3.amazonaws.com/w526/e30bd8e42bcbb29b6900ec7084a8cab9.jpg|The Race|ANDREAS ACHENBACH|Apr 26, 2006|37,275 - 62,125 USD|89,460 USD|images/andreas_achenbach/e30bd8e42bcbb29b6900ec7084a8cab9.jpg|
19|2D||Oil|Canvas|Yes|42 x 62 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d204244494c1245af46d8bc3d3d45d75.jpg|A windmill in a storm|ANDREAS ACHENBACH|Dec 2, 2004|11,593 - 15,457 USD|19,395 USD|images/andreas_achenbach/d204244494c1245af46d8bc3d3d45d75.jpg|
20|2D|1838|Watercolour|Paper|Yes|5 x 5.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/beac2092aad7c91227aeb0a9e23c1418.jpg|The carousing figures|ANDREAS ACHENBACH|Apr 29, 2004|44 - 352 USD|105 USD|images/andreas_achenbach/beac2092aad7c91227aeb0a9e23c1418.jpg|
